kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
585467;Lukov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585467&xvyber=7204;1†443;945;941;134;4;0;61;0;60;51;9;4;13;0;1;76;0;25;262;0;2;140;2;0;1;85;11
557145;LukoveËek;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=557145&xvyber=7204;343;259;258;31;0;0;11;0;20;15;4;1;2;0;0;18;0;10;56;0;1;20;3;0;0;64;2
585483;Lutonina;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585483&xvyber=7204;331;199;198;14;2;0;14;1;15;21;4;5;1;2;0;12;0;4;75;0;0;8;1;0;0;16;3
585491;Machov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585491&xvyber=7204;505;310;307;9;2;4;18;0;18;23;0;6;5;0;0;16;0;2;106;0;0;45;3;0;0;48;2
585505;MysloËovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585505&xvyber=7204;489;352;350;40;0;0;17;0;30;24;0;2;4;0;1;26;2;8;73;0;3;64;2;1;0;50;3
585513;Napajedla;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585513&xvyber=7204;5†961;3†750;3†695;334;14;7;197;3;160;269;60;23;46;3;3;409;1;92;1†251;4;8;232;20;7;4;526;22
585521;N·vojn·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585521&xvyber=7204;573;340;338;11;2;0;33;0;16;13;2;8;3;0;0;19;0;5;107;0;0;99;3;0;0;16;1
585530;Nedaöov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585530&xvyber=7204;1†094;574;569;23;0;0;55;0;22;22;1;4;4;2;0;19;0;10;178;0;1;189;2;1;0;35;1
585548;Nedaöova Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585548&xvyber=7204;548;322;320;21;1;0;25;2;17;7;2;3;1;0;0;6;0;2;87;0;0;125;0;1;0;19;1
585556;Neubuz;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585556&xvyber=7204;374;225;224;12;0;0;8;0;32;14;1;0;4;0;0;11;1;6;60;0;1;29;1;1;1;39;3
549444;Old¯ichovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549444&xvyber=7204;324;207;206;6;1;0;9;0;12;16;1;3;2;0;1;18;0;1;87;0;1;19;0;0;0;29;0
557170;Ostrata;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=557170&xvyber=7204;342;190;190;14;0;0;11;0;15;3;0;0;2;0;2;14;0;10;71;0;2;17;3;0;0;26;0
585599;Otrokovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585599&xvyber=7204;14†667;8†830;8†770;627;27;10;726;7;397;533;119;51;151;7;7;853;9;197;2†980;4;12;548;94;20;8;1†332;51
556874;Petr˘vka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=556874&xvyber=7204;278;175;175;19;0;0;17;1;13;19;0;0;1;0;0;17;0;1;42;0;0;21;2;0;0;21;1
534811;PodhradÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=534811&xvyber=7204;171;120;120;11;0;0;7;0;8;2;1;1;6;0;0;3;0;1;34;0;0;33;0;0;0;13;0
585611;Podkopn· Lhota;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585611&xvyber=7204;279;181;180;14;0;0;12;0;7;14;1;2;3;0;0;10;0;1;57;1;0;27;0;0;0;30;1
549461;Poho¯elice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549461&xvyber=7204;721;499;494;47;2;0;38;0;25;33;7;0;6;2;1;49;2;24;113;0;0;60;2;0;2;74;7
549533;PoteË;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549533&xvyber=7204;624;443;442;24;0;0;27;0;24;15;5;1;5;0;0;47;0;4;96;0;0;139;8;0;0;44;3
549401;Pozlovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549401&xvyber=7204;1†062;757;750;60;3;0;39;0;39;17;8;2;28;1;2;57;1;27;216;0;0;140;25;0;3;79;3
585661;Provodov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585661&xvyber=7204;647;463;461;35;0;0;19;0;29;20;4;2;10;0;0;31;0;12;136;0;0;112;2;0;1;45;3
585670;Rackov·;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585670&xvyber=7204;628;443;437;42;3;0;24;0;25;28;4;1;8;3;0;40;2;18;121;0;0;50;7;2;1;54;4
556980;Rokytnice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=556980&xvyber=7204;488;290;290;14;0;0;26;0;20;21;5;2;4;0;0;17;0;2;79;0;0;42;27;0;0;30;1
586919;Rudimov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=586919&xvyber=7204;205;148;148;17;0;0;6;0;14;8;0;1;1;0;0;20;2;1;31;0;0;18;6;0;0;23;0
585726;Sazovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585726&xvyber=7204;590;410;407;30;1;0;28;0;17;11;4;2;1;0;1;24;1;9;148;0;2;69;3;1;0;45;10
585734;Sehradice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585734&xvyber=7204;575;392;390;20;2;0;33;0;21;15;0;1;3;1;0;28;1;3;92;2;0;94;3;0;0;60;11
585751;SlaviËÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585751&xvyber=7204;5†396;3†253;3†228;267;11;2;302;2;159;261;40;17;50;3;1;262;3;68;1†035;3;6;356;43;3;3;317;14
585769;SlopnÈ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585769&xvyber=7204;455;341;341;25;0;0;21;2;28;16;4;4;2;0;0;28;0;8;62;0;0;107;1;0;1;30;2
585777;Sluöovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585777&xvyber=7204;2†348;1†474;1†454;171;5;3;80;1;89;72;22;9;36;4;6;142;0;46;400;2;2;181;6;2;2;155;18
585793;SpytihnÏv;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585793&xvyber=7204;1†382;924;912;57;4;0;41;0;41;60;12;3;19;0;0;63;2;22;306;2;1;103;6;1;0;157;12
585807;äanov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585807&xvyber=7204;393;227;225;15;0;0;16;0;10;25;1;0;3;0;0;10;0;4;86;0;1;32;0;2;1;18;1
585815;äarovy;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585815&xvyber=7204;214;142;141;17;1;0;10;0;7;7;3;1;3;0;0;18;0;2;42;0;0;7;1;0;0;22;0
585831;ätÌtn· nad Vl·¯Ì-Popov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585831&xvyber=7204;1†763;1†105;1†102;79;0;0;101;0;55;54;10;4;11;1;5;70;0;16;327;0;0;257;11;0;2;98;1
549649;TeËovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=549649&xvyber=7204;1†020;663;660;66;5;0;39;0;73;21;10;4;7;1;1;50;0;19;182;1;1;70;11;1;0;91;7
535184;Tichov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=535184&xvyber=7204;245;160;159;2;0;0;17;0;8;16;1;2;2;0;0;4;0;5;36;0;0;43;0;0;0;23;0
585858;TlumaËov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585858&xvyber=7204;1†973;1†137;1†130;79;4;1;65;1;54;76;17;9;11;3;1;75;1;14;399;2;1;78;10;4;0;212;13
585866;Trnava;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585866&xvyber=7204;931;565;561;42;2;0;34;0;47;49;4;3;7;0;1;23;0;6;162;0;1;100;3;0;0;74;3
585874;Ublo;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=13&xobec=585874&xvyber=7204;235;142;141;20;1;0;14;1;7;14;2;1;1;0;0;10;0;4;48;0;0;7;3;0;0;8;0
