kod;nazev;odkaz;volici;obalky;hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
589721;Mo¯ice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589721&xvyber=7103;422;226;223;8;0;0;20;0;22;39;2;2;1;0;0;9;0;1;66;0;0;13;0;1;0;0;39;0
589730;Mostkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589730&xvyber=7103;1†248;842;836;98;1;1;55;0;23;59;7;2;3;0;2;58;0;21;299;1;1;49;0;3;0;4;141;8
589748;Myslejovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589748&xvyber=7103;569;371;370;31;0;0;31;0;10;54;2;3;0;2;0;47;0;2;95;0;0;18;0;0;1;3;71;0
589756;NÏmËice nad Hanou;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589756&xvyber=7103;1†612;942;939;79;1;4;96;0;23;110;6;6;4;3;1;44;3;24;264;0;2;79;1;6;2;5;176;0
589764;Nezamyslice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589764&xvyber=7103;1†140;619;615;51;2;0;56;0;27;58;4;6;2;1;1;35;1;16;205;0;0;57;1;0;0;3;89;0
589772;Niva;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589772&xvyber=7103;257;160;160;6;0;0;26;0;7;32;1;1;2;0;0;10;0;0;41;0;0;12;0;0;0;1;21;0
589799;ObÏdkovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589799&xvyber=7103;207;95;94;3;0;0;6;0;1;17;0;1;2;0;0;1;0;4;30;0;0;5;0;0;0;1;23;0
589802;Ohrozim;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589802&xvyber=7103;370;267;266;30;0;0;20;1;10;18;0;1;3;1;0;21;0;8;56;0;2;51;0;0;0;3;40;1
589811;Ochoz;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589811&xvyber=7103;152;102;99;9;0;0;4;0;2;8;0;0;1;0;0;3;0;4;25;0;0;31;0;0;6;1;5;0
589829;Olöany u ProstÏjova;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589829&xvyber=7103;1†375;844;839;72;0;0;75;0;17;56;15;9;9;5;0;64;1;19;293;0;3;41;0;12;1;3;138;6
589837;Ondratice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589837&xvyber=7103;289;173;171;9;0;1;10;0;4;28;0;5;2;0;1;12;0;2;36;0;0;30;0;2;0;0;28;1
589845;Otaslavice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589845&xvyber=7103;1†029;650;647;81;2;0;66;0;9;74;3;4;2;0;4;59;2;16;156;2;0;56;0;2;0;3;106;0
589853;Otinoves;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589853&xvyber=7103;229;144;143;3;0;0;8;0;3;17;0;0;0;0;0;20;0;5;40;0;0;25;0;0;2;2;18;0
557196;Pavlovice u KojetÌna;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=557196&xvyber=7103;232;135;134;4;0;0;12;0;11;21;0;1;1;0;0;6;0;1;44;0;0;12;0;0;1;0;19;1
589870;PÏnËÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589870&xvyber=7103;594;352;349;18;2;2;22;1;12;37;2;2;3;0;0;15;0;4;113;1;1;41;0;1;2;1;68;1
589888;PivÌn;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589888&xvyber=7103;565;382;381;19;0;0;13;1;23;24;1;3;5;0;1;20;0;10;118;0;0;64;0;0;1;1;77;0
589896;Plumlov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589896&xvyber=7103;1†934;1†180;1†175;120;0;2;100;0;24;102;16;3;11;2;4;118;2;40;312;1;0;110;0;5;3;2;197;1
549983;PolomÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=549983&xvyber=7103;124;78;78;2;0;0;12;0;3;11;0;1;6;0;0;3;0;2;15;0;0;12;0;2;1;0;8;0
589250;ProstÏjov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589250&xvyber=7103;35†975;21†073;20†934;2†152;17;33;1†925;16;459;1†699;350;120;270;26;25;1†942;6;709;6†322;16;31;1†269;10;109;29;71;3†261;67
589918;ProstÏjoviËky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589918&xvyber=7103;242;138;137;13;0;0;12;0;5;20;6;2;1;0;0;12;0;1;38;0;1;15;0;0;0;0;11;0
589926;Protivanov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589926&xvyber=7103;805;549;547;45;0;0;59;1;15;52;2;4;5;1;0;31;0;5;144;0;1;101;0;10;1;2;68;0
589934;P¯emyslovice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589934&xvyber=7103;1†029;621;617;36;0;1;54;2;9;74;9;6;6;0;0;24;0;11;202;1;0;77;0;1;1;1;101;1
589942;PtenÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589942&xvyber=7103;880;524;520;26;0;0;51;0;17;49;6;4;2;0;0;38;3;8;135;1;1;114;0;6;1;5;53;0
589951;Rakov· u Konice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589951&xvyber=7103;163;104;101;5;0;0;0;0;5;16;1;0;0;0;0;10;0;1;30;0;0;19;0;0;0;2;11;1
589969;Rak˘vka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589969&xvyber=7103;80;61;61;1;0;0;11;0;0;8;0;1;0;0;0;4;0;2;17;0;0;2;0;0;0;0;13;2
589977;Rozst·nÌ;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589977&xvyber=7103;503;294;290;24;0;1;16;0;6;28;6;7;5;0;0;19;0;5;94;0;1;35;0;0;0;0;43;0
506770;Seloutky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=506770&xvyber=7103;410;288;287;34;0;0;19;0;6;33;3;2;3;0;0;29;0;9;87;0;0;30;0;0;0;0;32;0
589993;Skalka;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589993&xvyber=7103;212;131;131;7;0;0;7;0;7;20;1;1;1;0;0;14;0;4;31;0;0;17;0;1;0;0;20;0
590002;Sk¯Ìpov;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590002&xvyber=7103;274;145;144;4;0;0;11;0;1;43;2;2;1;0;0;12;0;1;36;0;0;12;0;0;0;0;19;0
590011;Slatinky;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590011&xvyber=7103;453;314;313;32;0;0;15;1;16;30;7;0;2;0;0;44;0;23;87;0;0;27;0;0;0;0;29;0
590029;Smrûice;https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=590029&xvyber=7103;1†319;797;786;92;0;0;62;0;20;45;4;7;2;0;2;66;0;32;263;0;1;68;1;6;4;3;107;1
